 ,Area,Mean,X,Y
810,215,2.6,659.2,641.7
811,239,2.3,146.2,643.8
812,3,2.7,397.2,636.8
813,85,3.6,233.1,642.4
814,97,3.9,271.8,642.6
815,156,2.5,1082.0,648.6
816,82,6.2,1179.1,643.4
817,34,2.1,398.2,641.6
818,122,2.6,378.7,647.0
819,438,131.5,890.8,651.8
820,46,2.0,1140.5,643.6
821,86,2.3,490.6,645.4
822,37,2.3,961.3,644.3
823,153,3.4,1212.5,649.4
824,15,3.5,313.4,644.2
825,187,2.2,831.0,651.2
826,31,2.1,1042.0,646.7
827,23,2.0,1305.7,645.9
828,121,2.2,998.8,650.5
829,70,3.5,326.7,649.5
830,63,2.1,1055.5,651.0
831,114,2.3,18.1,652.3
832,56,3.5,341.2,651.5
833,88,2.2,201.5,652.3
834,99,3.0,39.6,652.6
835,107,42.9,237.7,655.1
836,104,2.3,426.6,654.5
837,5,2.2,1330.9,650.7
838,70,2.4,612.1,654.9
839,51,132.7,248.2,656.2
840,175,2.6,372.2,660.9
841,9,2.4,458.2,653.9
842,234,2.3,173.0,661.4
843,155,2.3,507.9,661.1
844,115,2.0,772.2,662.2
845,82,2.6,578.7,660.9
846,27,2.1,1107.1,659.9
847,77,16.9,1174.3,661.1
848,24,2.5,1337.1,659.5
849,183,2.3,117.4,666.0
850,30,2.1,407.4,659.5
851,212,2.2,38.5,667.0
